cd_id,id,hplx,gg,pp,lyzczdj,cyzczdj,cycgje,lycgje,create_by,create_time,update_by,update_time,remark,data_key,authorized_key
4,3,1,1,9,270.00,270.00,0.00,0.00,admin,2022-03-11 15:59:22,pengli,2022-09-27 09:00:00,,,
5,4,1,1,9,270.00,270.00,0.00,0.00,admin,2022-03-11 15:59:37,pengli,2022-09-27 09:00:14,,,
3,5,1,1,8,225.00,255.00,0.00,0.00,admin,2022-03-11 15:59:54,pengli,2022-09-27 09:00:24,,,
6,6,0,0,7,8888.00,365.00,0.00,0.00,admin,2022-03-11 16:00:12,DS04002,2023-03-21 13:52:00,,,
8,7,0,0,1,8888.00,365.00,0.00,0.00,dsadmin,2022-04-11 11:19:42,DS04002,2023-03-21 13:52:06,,,
7,8,0,0,0,8888.00,365.00,0.00,0.00,dsadmin,2022-04-15 10:18:13,DS04002,2023-03-21 13:52:12,,,
9,9,0,0,0,8888.00,365.00,0.00,0.00,dsadmin,2022-04-15 10:19:14,DS04002,2023-03-21 13:52:17,,,
10,10,0,0,2,8888.00,365.00,0.00,0.00,dsadmin,2022-05-13 14:23:20,DS04002,2023-03-21 13:52:23,,,
13,11,1,1,12,260.00,260.00,0.00,0.00,dsadmin,2022-07-20 15:08:17,pengli,2022-08-22 13:21:19,区域定价,,
14,12,1,1,10,270.00,270.00,0.00,0.00,dsadmin,2022-07-21 14:45:51,pengli,2022-08-22 13:21:24,,,
12,13,0,0,0,8888.00,365.00,0.00,0.00,zhou,2022-08-19 14:57:55,DS04002,2023-03-21 13:52:28,,,
16,14,0,0,0,8888.00,365.00,0.00,0.00,dsadmin,2022-08-29 16:09:47,DS04002,2023-03-21 13:52:32,,,
17,15,0,0,0,8888.00,365.00,0.00,0.00,dsadmin,2022-08-29 16:18:56,DS04002,2023-03-21 13:52:39,,,
11,16,0,0,0,8888.00,365.00,0.00,0.00,zhou,2022-09-07 16:03:06,DS04002,2023-03-21 13:52:44,,,
5,17,1,2,9,750.00,0.00,0.00,750.00,zhou,2022-11-17 22:10:37,dsadmin,2022-11-18 09:12:47,,,
18,18,0,0,2,8888.00,365.00,0.00,0.00,zhou,2022-11-18 20:26:23,DS04002,2023-03-21 13:52:50,,,
19,19,0,0,5,360.00,0.00,0.00,300.00,zhou,2023-02-23 15:55:43,DS04002,2023-03-21 13:53:36,,,
20,20,0,4,0,265.00,0.00,0.00,262.00,dsadmin,2023-09-06 13:21:33,dsadmin,2023-09-06 13:21:48,,,
21,21,0,0,0,0.00,0.00,0.00,0.00,DS02001,2024-04-07 15:56:00,DS02001,2024-04-07 15:56:00,,,
