id,khxx_id,zdmc
26,20,武汉昊胜商砼
27,21,武汉君善建商砼
29,18,中村商砼
31,23,合力久盛长江新城商砼
32,23,合力久盛花山商砼
33,24,湖北广福水泥商砼汉南站
34,24,崇阳村砖厂
35,27,二七路过江隧道（武汉市政）工地
36,29,美益武新砖厂
37,25,青王商砼
38,31,亿新城商砼
41,33,明华蔡甸商砼
42,33,明华金银潭商砼
44,36,汉北通达商砼
48,40,武汉鑫正商砼
49,56,春笋砖厂
50,73,蓝海商砼
51,70,新泽基商砼
52,74,华升阳砖厂
53,52,鑫和众砖厂
54,53,新泽新商砼
55,54,新泽新商砼
56,55,鑫发强砖厂
57,75,联建新洲商砼
58,78,昊华中建砖厂
59,77,军山商砼
60,79,联鑫齐盛砖厂
62,80,青化商砼
63,82,海剑高新商砼
64,85,宏福煜轩
65,84,能信工贸商砼
66,76,市政汉南薇湖路工地
67,89,弘宏商砼
68,57,亿新成武湖商砼
69,57,亿新成双凤诚商砼
70,97,今山建材
71,98,三眼桥k16工地
72,100,建工军山商砼
73,100,建工东西湖商砼
74,101,建工黄陂商砼
75,102,知润工贸商砼
77,120,弘盛兴源商砼
78,114,金升泰
81,111,湖北广厦（舒靖）
82,105,青松兴盛商砼
83,124,亿新成商砼
84,108,湖北绿锦（舒靖）
85,105,横店水稳站
86,104,京山武环（唐宇）
87,103,京山永丰（唐宇）
88,99,昌华汇鑫商砼
89,96,湖北胜都商砼
90,95,恒垒迪凡
91,125,新天地商砼
93,107,鑫祥旺砖厂
94,112,利建高新商砼
95,127,广福汉南商砼
96,115,裕隆商砼
97,117,汉和顺商砼
98,129,汉和顺商砼
99,86,明信商砼
100,117,盛世兴业商砼
101,87,李玲珍制管厂
102,118,长源兴盛商砼
104,90,鸿志振涛制管厂
105,119,建华管桩粉磨站
106,91,兴诚海商砼
108,88,润锦鸿砖厂
109,92,谌家矶砖厂
110,122,瑞锦商砼
111,94,湖北睿鑫
112,121,和聚商砼
113,64,红联村砖厂
114,121,新坤发商砼
115,132,中建盘龙商砼
116,63,联鸿彩砖厂
117,121,雄楚商砼
118,62,武汉盛炯
119,61,东西湖柏泉工地
120,60,鲁苑建设商砼
121,59,康庄商砼
122,58,江夏路桥市政工地
123,130,高新宏祥水稳
124,68,顺辉致强制管厂
125,69,华江幸福预制厂
127,86,鼎晟商砼
128,133,武汉海剑商砼
129,126,和平新龙砖厂
130,98,陈家畈水稳站
131,128,乔治商砼
132,112,黄冈水稳站
133,134,黄冈鑫海商砼
134,128,微云建材水稳站
135,86,湖北汉港科技（自提）
136,86,应城宇洋商砼
137,98,陈家畈水稳站
139,137,羽跃水稳站
140,138,宏亦众拓商砼
141,139,弘盛兴源商砼
142,140,兴成功商砼
143,27,武汉堤角城开地产工地
144,141,盛华鑫青山站商砼
146,142,毕铺商砼
147,142,鑫达制管厂
148,142,同心园制管厂
149,143,新黄制管厂
150,144,联盟路城建工地
151,145,中甄构件厂
153,146,中坤商砼
154,113,鑫鸿运商砼
155,86,安陆知名商砼
156,86,孝昌立成商砼
157,86,白杨商砼
158,86,京山长盛商砼
161,149,亿新成商砼
162,152,志诚合磊
163,151,鑫仲源
164,151,白涢商砼
165,151,黄陂水稳站
167,153,东方明浒商砼
168,150,新泽基商砼
170,155,兴伟天成
171,156,高森盛达实业
172,86,友灿商砼
173,86,天夏商砼
174,157,三店四德砖厂
175,158,沃克豪斯商砼
176,159,德旺码头1号仓库
177,159,德旺码头2号仓库
178,160,海剑庙岭商砼
179,161,中鑫恒瑞
180,85,绿色建功商砼
181,162,程凯
182,163,武汉昊胜商砼
183,164,武昌临江大道地下公司工地
184,166,湖北新业商砼
185,167,新天地商砼
186,165,光谷六路创新天地边坡喷锚工地
187,168,湖北碁润商砼
188,169,盛华鑫青山商砼
189,170,九峰怡丰商砼
190,171,鑫凝砂浆厂
191,152,志诚合磊
192,173,武汉华安商砼
193,172,武汉君善建商砼
194,174,楚凌黄陂站商砼
195,175,鑫宏基商砼
196,175,湖北国奥商砼
197,176,中建阳逻商砼
198,174,亿槿红
199,177,武汉君善建商砼
200,178,湖北三泉水泥厂
201,128,益科永水稳站
202,180,华武新砖厂
203,181,洋洋建材砖厂
204,182,源锦江北商砼
205,183,年华制管厂
207,184,谌家叽工地
208,166,湖北鹏锦商砼
209,86,湖北汉港科技（配送）
210,185,湖北金海商砼
211,169,盛华鑫滠口商砼
212,186,拓境环保砖厂
213,169,盛华鑫摄口商砼
214,187,湖北合力久盛混凝土长江新城站
215,188,盘龙永固商砼
216,94,九运砖厂
217,92,九运砖厂
218,189,旭光华联砖厂
219,142,同心圆制管厂
221,113,广厦商砼
223,111,鑫鸿运商砼
224,111,广厦商砼
225,190,大桥局商砼
226,191,以诚相待（郭吉祥）
228,192,绿标新城商砼
230,188,绿标新城商砼
232,193,黄陂六指管砖厂
233,188,武汉平安诚海商砼
234,24,达米安商贸
236,187,合力久盛花山商砼
237,194,明居商砼
238,195,嘉迪优聚商砼
239,23,合力久盛长江新城商砼
240,196,光山县立诚
241,197,鑫翔皓
242,198,申瑞达预制厂
243,199,昌泰建筑商砼
244,200,武汉君善建商砼
245,201,楚凌青山商砼
246,202,鲲鹏建材
247,203,蔡甸江永堤工地
248,204,荆门中和商砼
249,207,君豪制管厂
250,207,汪集制管厂
252,207,靠山制管厂
253,208,中阳明黄陂站商砼
254,206,咸宁天龙商砼
255,205,湖北新港商砼
257,210,湖北新港商砼
258,209,湖北绿锦商砼
259,205,湖北新港商砼
260,87,罗匡制管厂
261,201,创新佳华商砼
262,211,华天商砼
263,211,巨建建材商砼
264,213,鑫融通制管厂
265,214,龙隆建材制管厂
266,212,盛彩立地坪厂
267,188,兴恒大商砼
270,215,湖北全奇晟商砼
271,216,自提
273,218,中昇东浩商砼
278,220,石咀砖厂
279,180,新十公路砖厂
280,221,武汉天宸商砼
281,222,龙欣商砼
282,120,中阳明阳逻商砼
283,120,弘盛兴源新洲商砼
285,189,伟鹏砖厂
286,226,鑫宏伟商砼
287,227,英特普环保砖厂
288,228,中砼东西湖站商砼
289,228,中砼阳逻站商砼
290,228,中砼君和站商砼
291,228,中砼高新站商砼
292,229,中砼东西湖商砼
293,230,金腾制管厂
294,231,湖北仁旺建筑砖厂
296,232,世纪领航板材厂
297,233,五星水泥砖厂
299,76,盛大沌口站商砼
301,240,自提
302,175,钟祥祥硕
303,86,群祥鑫义
304,144,蔡甸砖厂
305,241,晟阳恒
306,242,自提
307,243,盛辉商砼
308,244,鸿博泰砖厂
309,202,白涢商砼
318,254,鑫超强商砼
319,218,方远商砼
320,255,武汉嘉砼商砼
321,211,江南商品混凝土商砼
322,232,自提
323,256,志森（华夏龙城）商砼
324,161,绿标新城商砼
325,258,隆运达
326,144,自提
327,165,宇澳佳商砼
328,165,复兴南路水稳站
331,260,江南码头仓库1号仓库
332,260,江南码头仓库2号仓库
333,261,蔡甸砖厂
334,261,自提 
335,262,泓锦建材
336,86,应城安基水泥厂自提
339,227,中江实业
341,263,湖北天海
342,264,自提
344,92,滠口砖厂
345,188,横店砖厂
346,86,应城威义商砼
347,86,葛洲坝应城商砼
348,202,明星制管厂
349,265,湖北宇辉
350,266,薇湖路工地
351,152,常青第一学校
352,267,强力佳
353,189,行路人砖厂
354,81,花山商砼
355,81,长江新城商砼
357,269,怡恒达
358,270,息县强盛建材
360,198,黄陂六指
361,272,水稳站
363,273,随州市龙基建材有限公司
364,256,志森（南方国际）商砼
365,124,双凤诚商砼
366,25,省构郑店商砼
367,108,广厦商砼
368,108,鑫鸿运商砼
369,216,碧桂园工地
370,141,盛华鑫江夏站商砼
371,93,武汉军璐
373,275,盛世商品砼
374,275,盛世商品砼
375,51,汉北通达商砼
376,276,赤壁宏大
377,277,武汉希维
378,277,希维东西湖
379,278,砼辰建筑
381,279,瑞宇自提
382,279,宏达建工自提
383,280,绿林环保
385,282,源锦江夏
386,40,武汉益马商砼
389,284,黄陂六指砖厂
390,188,双凤诚庄屋商砼
391,285,豫诚建材
392,286,源锦南湖商砼
393,287,惠涛左岭商砼
394,288,惠涛黄家湖商砼
395,289,惠涛江夏商砼
396,276,自提
397,290,中阳明黄陂商砼
398,290,中阳明蔡甸商砼
401,294,湖北泰枫昌商贸有限公司
402,294,武南明渠工地
403,295,鄂州乾润建材
404,16,测试站点1
405,98,三眼桥k6工地
406,296,强力佳
407,152,钟祥钟瑞
408,297,联盟商砼
410,298,诚信融鑫
411,16,测试A
412,299,湖北凌峰水泥厂
415,307,宏阳水泥厂
416,86,秦江水泥厂
417,86,潜弘干混砂浆
418,144,武汉地铁团结路工地
419,90,自提
420,308,港昌商砼
421,181,李氏强力砖厂
422,309,湖北砼城易购商砼
423,310,武汉康庄建筑
424,311,靠山店黄志勇
425,311,靠山店黄志勇
427,312,自提
428,144,石牌岭工地
429,310,武汉康庄建筑材料有限公司
430,313,普利斯
431,98,武汉宏祥水稳
432,314,冠明骏商贸
433,315,盛华鑫青山站
434,315,盛华鑫江夏站
435,316,源祥顺发
436,90,盘龙城砖厂
437,317,百彤新材料
438,318,明居商砼
440,324,中阳明商砼黄陂站
441,325,凌飞商砼
442,326,源锦江夏
443,327,信阳博隆建材有限公司
444,329,中阳明商砼黄陂站
445,330,东诚建筑
446,328,自提
447,331,瀚翔
448,332,诚力商砼
452,338,能信工贸商砼
453,329,西环科技商砼
454,339,亿新成
455,340,同心圆制管厂
456,341,九州建筑
458,342,平安诚海
459,144,滨江时代工地
460,343,进玲商贸
461,76,海剑青山
462,76,海剑青山
463,207,万里水泥制管厂
464,344,望珍制管厂
465,345,沃德贸易自提
466,85,蔡甸砖厂
467,346,泽麟建材
468,189,自提
469,267,嘉迪优聚
470,347,新中环汉阳站商砼
471,348,自提
472,240,自提
473,349,武昌滨江核心区
474,350,鑫凝砂浆
475,184,李良忠
476,86,凌飞自提
477,265,凌飞
478,351,新泽基商砼
479,352,恒诺创通
480,121,华强蔡甸站
482,354,盛大三眼桥
483,354,平安诚海（鑫金宇）
484,354,绿标新城
485,354,盘龙永固
486,354,中阳明
487,354,联建
488,354,兴恒大
489,354,双凤城
490,354,双凤城新站
491,354,横店砖厂
492,355,合力花山站
494,356,海剑高新
495,357,自提
496,350,宏辉
497,355,长江新城
498,211,全奇晟商品混凝土
499,358,亿新成
500,358,双凤诚
502,359,沪渝蓉7号梁场
503,211,马口搅拌站
506,202,坤兴商砼
507,361,康达水泥
508,362,三江混凝土
510,363,盘龙永固
511,364,姚文军商贸
512,34,利建青山站
513,34,利建高新站
514,34,利建汉口站
515,34,利建江夏站
516,365,京川建材
517,365,汉川商砼
518,366,华天商砼
519,366,建基商砼
521,367,驰骋青山站
522,368,武汉祥麒
523,369,鑫固强商砼
524,208,盛大长青青山站
525,226,联建广厦
526,370,联建江夏
527,371,湖北驰骋
528,372,固盛源
529,373,诚兴泰
530,374,黄陂鲁台 水稳站
531,375,自提
532,375,自提
533,376,中砼阳逻站
534,152,青山源锦
535,377,滠口砖厂
536,378,荆楚宏盛（换货）
537,379,振新（矿粉）
538,216,八一大桥
540,380,鑫天意
542,381,自提
543,222,龙欣
544,128,兴融城
545,382,自提
548,86,白涢商砼自提
549,383,诚禾达
550,384,武汉鑫正商砼
551,384,武汉益马物流商砼
552,189,光谷六路华西工地
553,111,自提
554,113,自提
555,113,自提
556,385,源锦江北
557,171,宏辉商砼
558,180,卓惜砖厂
559,76,青山楚凌
560,386,盘龙永固
561,386,绿标新城
562,386,平安诚海（鑫金宇）
563,386,双凤城新站
564,139,宏奕众拓
565,76,宏奕众拓汉阳站
566,387,武汉钧德通达
567,388,泽麟建材
568,389,鄂州振飞建材
570,390,绿标新城
571,386,盘龙永固（现金）
572,391,盛华鑫青山站
573,391,盛华鑫江夏站
574,392,裕隆
575,393,德旺自用
576,394,强盛建材
577,64,红联村砖厂
578,395,知润工贸
579,396,创祥砖厂
580,77,军山站
582,398,黄陂商砼
583,399,诚力
584,400,湖北嘉砼商砼
585,401,谌家矶砖厂
586,401,九运砖厂
587,402,""
588,402,自提
589,403,绿色能源环保
590,404,兴光天地
591,404,兴光天地商砼站
592,142,康庄商砼
593,403,大花岭砖厂
594,73,惠涛
595,197,武大高速
596,405,远大（毛陈站）
598,406,自提
599,407,新天地
600,93,军璐东西湖
601,408,诚兴泰
602,184,自提
603,409,郑店站
604,184,胜辉搅拌站
606,410,汉和顺
607,411,马口商砼
608,412,自提
609,413,华安水泥
